dataname	id	macF1	micF1	k1	kacc	knmi	sim	lambd0	lambd1	lambd2	w_loss1	w_loss2
dblp	2724	0.3060+	0.3441+	0.18861339403887734,std:0.152199964	 macro_f1s:0.306018534412089,std:0.027864482594502284, micro_f1s:0.3441457978235217,std:0.022828362138423316,k1:0.18861339403887734,std:0.1521999640533964	 macro_f1s:0.306018	 macro_f1s:0.306018534412089,	0.0001	0.0001	0.0001	10.0	10.0
dblp	2725	0.2691+	0.3069+	0.1257206726353681,std:0.143651206	 macro_f1s:0.2691325625548235,std:0.020088503039782896, micro_f1s:0.3069358856693326,std:0.020516924988944866,k1:0.1257206726353681,std:0.1436512069362929	 macro_f1s:0.269132	 macro_f1s:0.2691325625548235	0.0001	0.0001	0.0001	0.1	0.1
dblp	2726	0.5451+	0.5640+	0.4468157841631206,std:0.14659960	 macro_f1s:0.5450846077649838,std:0.004224998191152828, micro_f1s:0.563983217516717,std:0.0036454407659469203,k1:0.4468157841631206,std:0.146599608022119	 macro_f1s:0.545084	 macro_f1s:0.5450846077649838	0.0001	0.0001	0.0001	0.1	0.1
dblp	2727	0.5975+	0.6220+	0.5361539155817511,std:0.117228350	 macro_f1s:0.5975195479342444,std:0.00571238281523076, micro_f1s:0.6220007866789039,std:0.015598828592586952,k1:0.5361539155817511,std:0.1172283507881165	 macro_f1s:0.597519	 macro_f1s:0.5975195479342444	0.0001	0.0001	0.0001	0.1	0.1
dblp	2728	0.5962+	0.5669+	0.34195234169761096,std:0.140570586	 macro_f1s:0.5962138690035557,std:0.011534021981315817, micro_f1s:0.5668808181460601,std:0.005779458162404491,k1:0.34195234169761096,std:0.1405705868499299	 macro_f1s:0.596213	 macro_f1s:0.5962138690035557	0.0001	0.0001	0.0001	0.1	0.1
dblp	2729	0.6386+	0.6240+	0.5269777379681694,std:0.125917611	 macro_f1s:0.6386067380492924,std:0.014347820158255763, micro_f1s:0.6239543726235741,std:0.02345499932243254,k1:0.5269777379681694,std:0.1259176114689724	 macro_f1s:0.638606	 macro_f1s:0.6386067380492924	0.0001	0.0001	0.0001	0.1	0.1
dblp	2730	0.7400+	0.7375+	0.5851950700724183,std:0.118536579	 macro_f1s:0.7400463279220995,std:0.009591946269789957, micro_f1s:0.737485249770552,std:0.005340604140021342,k1:0.5851950700724183,std:0.1185365791868439	 macro_f1s:0.740046	 macro_f1s:0.7400463279220995	0.0001	0.0001	0.0001	0.1	0.1
dblp	2731	0.7917+	0.7826+	0.6205650392945147,std:0.116407877	 macro_f1s:0.7916702546858928,std:0.0022421548520079894, micro_f1s:0.7826406188540711,std:0.002398904909225476,k1:0.6205650392945147,std:0.1164078778473304	 macro_f1s:0.791670	 macro_f1s:0.7916702546858928	0.0001	0.0001	0.0001	0.1	0.1
dblp	2732	0.7732+	0.7520+	0.5911458920910203,std:0.108444465	 macro_f1s:0.7731568950331281,std:0.0011881799668052827, micro_f1s:0.7519601416022027,std:0.0013761260535887592,k1:0.5911458920910203,std:0.1084444659658311	 macro_f1s:0.773156	 macro_f1s:0.7731568950331281	0.0001	0.0001	0.0001	0.1	0.1
dblp	2733	0.7815+	0.7653+	0.6234485726347546,std:0.113534873	 macro_f1s:0.7814941285836526,std:0.004192158426474987, micro_f1s:0.765307460338272,std:0.004862159320423475,k1:0.6234485726347546,std:0.1135348732429433	 macro_f1s:0.781494	 macro_f1s:0.7814941285836526	0.0001	0.0001	0.0001	0.1	0.1
dblp	2734	0.4033+	0.4370+	0.21531892458993415,std:0.140518058	 macro_f1s:0.4033421291548723,std:0.014637866968028898, micro_f1s:0.43697390848302087,std:0.013453487101847978,k1:0.21531892458993415,std:0.1405180586830909	 macro_f1s:0.403342	 macro_f1s:0.4033421291548723	0.0001	0.0001	0.0001	0.1	0.1
dblp	2735	0.5287+	0.5414+	0.2914324610736391,std:0.134989937	 macro_f1s:0.5287436519913217,std:0.033438320434126964, micro_f1s:0.5414186442900222,std:0.03408726077624045,k1:0.2914324610736391,std:0.1349899370630302	 macro_f1s:0.528743	 macro_f1s:0.5287436519913217	0.0001	0.0001	0.0001	0.1	0.1
dblp	2736	0.6040+	0.6100+	0.5395571219111663,std:0.121796789	 macro_f1s:0.6040393829750921,std:0.010036985786746791, micro_f1s:0.6100432673397141,std:0.01765922330802938,k1:0.5395571219111663,std:0.1217967895064024	 macro_f1s:0.604039	 macro_f1s:0.6040393829750921	0.0001	0.0001	0.0001	0.1	0.1
dblp	2737	0.5503+	0.5326+	0.3485862595910842,std:0.139378223	 macro_f1s:0.5503077022222962,std:0.02899058679264804, micro_f1s:0.5326078405664089,std:0.023443661961283356,k1:0.3485862595910842,std:0.1393782238199684	 macro_f1s:0.550307	 macro_f1s:0.5503077022222962	0.0001	0.0001	0.0001	0.1	0.1
dblp	2738	0.7787+	0.7668+	0.5919788773890277,std:0.116423597	 macro_f1s:0.7786951034930659,std:0.02182468766433698, micro_f1s:0.7667759276255409,std:0.028115367926001465,k1:0.5919788773890277,std:0.1164235970829086	 macro_f1s:0.778695	 macro_f1s:0.7786951034930659	0.0001	0.0001	0.0001	0.1	0.1
dblp	2739	0.6282+	0.6600+	0.5781533771775259,std:0.113860065	 macro_f1s:0.6281745453047518,std:0.015841638579284216, micro_f1s:0.6599842664219222,std:0.01115310607726865,k1:0.5781533771775259,std:0.1138600659511021	 macro_f1s:0.628174	 macro_f1s:0.6281745453047518	0.0001	0.0001	0.0001	0.1	0.1
dblp	2740	0.7835+	0.7714+	0.47510420403993187,std:0.1246788	 macro_f1s:0.7835473084310733,std:0.004213351773170349, micro_f1s:0.7714042218434509,std:0.007258566594606767,k1:0.47510420403993187,std:0.12467889518630	 macro_f1s:0.783547	 macro_f1s:0.7835473084310733	0.0001	0.0001	0.0001	0.1	0.1
dblp	2741	0.7507+	0.7409+	0.4821932355066145,std:0.1232713	 macro_f1s:0.7506977575367969,std:0.0021809031120274738, micro_f1s:0.7408810803723613,std:0.005921627871799466,k1:0.4821932355066145,std:0.12327138798992	 macro_f1s:0.750697	 macro_f1s:0.7506977575367969	0.0001	0.0001	0.0001	0.1	0.1
dblp	2742	0.7950+	0.7812+	0.6295054657155368,std:0.114600177	 macro_f1s:0.7950354600235349,std:0.0011536177612560192, micro_f1s:0.7812114855119968,std:0.0012913813375894936,k1:0.6295054657155368,std:0.1146001771007848	 macro_f1s:0.795035	 macro_f1s:0.7950354600235349	0.0001	0.0001	0.0001	0.1	0.1
dblp	2743	0.6699+	0.6556+	0.3663555875199216,std:0.145422091	 macro_f1s:0.6698911716168323,std:0.011855509467867896, micro_f1s:0.6555919758751803,std:0.01361946963990084,k1:0.3663555875199216,std:0.1454220915848428	 macro_f1s:0.669891	 macro_f1s:0.6698911716168323	0.0001	0.0001	0.0001	0.1	0.1
dblp	2744	0.6362+	0.6266+	0.42475683312535506,std:0.137415011	 macro_f1s:0.6361574065797067,std:0.03685351593502882, micro_f1s:0.626615969581749,std:0.04064561806801629,k1:0.42475683312535506,std:0.1374150111197692	 macro_f1s:0.636157	 macro_f1s:0.6361574065797067	0.0001	0.0001	0.0001	0.1	0.1
dblp	2745	0.6569+	0.6301+	0.555362080207649,std:0.108961866	 macro_f1s:0.6568601284322496,std:0.00713600914267645, micro_f1s:0.6300904680739479,std:0.02153156191758456,k1:0.555362080207649,std:0.1089618662351168	 macro_f1s:0.656860	 macro_f1s:0.6568601284322496	0.0001	0.0001	0.0001	0.1	0.1
dblp	2746	0.6340+	0.6298+	0.4439290377232716,std:0.132651493	 macro_f1s:0.6340285867342539,std:0.014074669219171252, micro_f1s:0.6297757965123901,std:0.011169893979853197,k1:0.4439290377232716,std:0.1326514938956099	 macro_f1s:0.634028	 macro_f1s:0.6340285867342539	0.0001	0.0001	0.0001	0.1	0.1
dblp	2747	0.6709+	0.6557+	0.43914975975773646,std:0.13602480	 macro_f1s:0.6709392428091566,std:0.022280330107217295, micro_f1s:0.6556575324505048,std:0.021226490221257523,k1:0.43914975975773646,std:0.136024803885898	 macro_f1s:0.670939	 macro_f1s:0.6709392428091566	0.0001	0.0001	0.0001	0.1	0.1
dblp	2748	0.6793+	0.6811+	0.4266867214252887,std:0.13391299	 macro_f1s:0.6793155085549933,std:0.018921775593204126, micro_f1s:0.6811065949914777,std:0.021800202128888953,k1:0.4266867214252887,std:0.133912998888989	 macro_f1s:0.679315	 macro_f1s:0.6793155085549933	0.0001	0.0001	0.0001	0.1	0.1
dblp	2749	0.7603+	0.7415+	0.5812689119719758,std:0.106920808	 macro_f1s:0.760302308784175,std:0.006006889375016293, micro_f1s:0.7415104234954766,std:0.011405977521113888,k1:0.5812689119719758,std:0.1069208089194096	 macro_f1s:0.760302	 macro_f1s:0.760302308784175,	0.0001	0.0001	0.0001	0.1	0.1
dblp	2750	0.8122+	0.8037+	0.6320139843913204,std:0.112898438	 macro_f1s:0.8122263205928484,std:0.013833063903722223, micro_f1s:0.8037498361085615,std:0.020085045480085065,k1:0.6320139843913204,std:0.1128984380761777	 macro_f1s:0.812226	 macro_f1s:0.8122263205928484	0.0001	0.0001	0.0001	0.1	0.1
dblp	2751	0.7846+	0.7668+	0.6244594922679485,std:0.112354312	 macro_f1s:0.7845672150558338,std:0.011125161546770507, micro_f1s:0.7668152615707354,std:0.01792103829733266,k1:0.6244594922679485,std:0.1123543128867701	 macro_f1s:0.784567	 macro_f1s:0.7845672150558338	0.0001	0.0001	0.0001	0.1	0.1
